borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_sqft,gross_sqft,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,borough_name,source_file,tax_class_as_of_final_roll_17/18,building_class_as_of_final_roll_17/18,tax_class_as_of_final_roll_18/19,building_class_as_of_final_roll_18/19,borough_str,pop_density,avg_income,gdp_local,dist_center,amenity_score,is_residential,price_per_sqft_real,sale_date_parsed,sale_month,borough_clean,sale_year,building_age
1.0,JAVITS CENTER,43 CONDO OFFICE BUILDINGS,4,732.0,1002.0, ,RB,"441 NINTH AVENUE, 2",2,10001.0,1.0,1.0,1.0,2000.0,1392.0,1962.0,4.0,RB,1033000000.0,2021-12-17,Unknown,2021_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,742097.7011494252,,,1,,
1.0,MIDTOWN WEST             ,21  OFFICE BUILDINGS                        ,4,998.0,29.0, ,O3,1177 6 AVENUE                            ,            ,10036.0,0.0,0.0,0.0,32134.0,912955.0,1988.0,4.0,O3,1000850706.0,2007-12-20,Unknown,sales_2007_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.0,,1096.2760552272566,,,1,,
1.0,UPPER WEST SIDE (59-79),34 THEATRES,1,1119.0,61.0, ,D4,149 COLUMBUS AVENUE,            ,10023.0,0.0,1.0,1.0,15059.0,99769.0,1978.0,4.0,J6,980000000.0,2018-06-15,Unknown,2018_manhattan.xlsx,1,D4,4,J6,1.0,72000,88000,6.8,2.0,5.15,,9822.690414858323,,,1,,
1.0,FASHION,22 STORE BUILDINGS,4,840.0,42.0, ,K3,424/434 5 AVENUE,            ,10018.0,0.0,4.0,4.0,51271.0,697029.0,1920.0,4.0,K3,978090439.0,2020-03-12,Unknown,2020_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.6,,1403.2277552296964,2020-12-03,12.0,1,2020.0,100.0
1.0,MIDTOWN WEST             ,28  COMMERCIAL CONDOS                       ,4,998.0,1005.0, ,R5,1540 BROADWAY                            ,OFFC        ,10036.0,0.0,1.0,1.0,0.0,0.0,1987.0,4.0,R5,967555811.0,2007-02-09,Unknown,sales_2007_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,,2007-09-02,9.0,1,2007.0,20.0
1.0,MIDTOWN CBD,46 CONDO STORE BUILDINGS,4,1291.0,1301.0, ,RK,"717 5 AVENUE, RETL",RETL,10022.0,1.0,1.0,1.0,2000.0,1392.0,1958.0,4.0,RK,963000000.0,2024-01-22,Unknown,2024_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,691810.3448275862,,,1,,
1.0,MIDTOWN CBD,43 CONDO OFFICE BUILDINGS,4,1291.0,1302.0, ,RB,"717 5 AVENUE, 4-OFF",4-OFF,10022.0,1.0,1.0,1.0,2000.0,1392.0,1958.0,4.0,RB,963000000.0,2024-01-22,Unknown,2024_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,691810.3448275862,,,1,,
1.0,UPPER WEST SIDE (59-79),34 THEATRES,4,1119.0,43.0, ,J6,30 WEST 67TH STREET,            ,10023.0,0.0,1.0,1.0,10042.0,129885.0,1978.0,4.0,J6,931000000.0,2022-03-18,Unknown,2022_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,7167.879277822689,,,1,,
1.0,UPPER WEST SIDE (59-79),34 THEATRES,4,1119.0,61.0, ,J6,149 COLUMBUS AVENUE,            ,10023.0,0.0,1.0,1.0,15059.0,99769.0,1978.0,4.0,J6,931000000.0,2022-03-18,Unknown,2022_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,9331.555894115409,,,1,,
1.0,UPPER WEST SIDE (59-79),34 THEATRES,4,1119.0,1.0, ,J6,147 COLUMBUS AVENUE,            ,10023.0,0.0,1.0,1.0,15075.0,133835.0,1991.0,4.0,J6,931000000.0,2022-03-18,Unknown,2022_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,6956.326820338477,,,1,,
1.0,UPPER WEST SIDE (59-79),34 THEATRES,4,1119.0,8.0, ,J6,77 WEST 66TH STREET,            ,10023.0,0.0,1.0,1.0,27575.0,287822.0,1988.0,4.0,J6,931000000.0,2022-03-18,Unknown,2022_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,3234.6380749213054,,,1,,
1.0,UPPER WEST SIDE (59-79),34 THEATRES,4,1119.0,21.0, ,J6,47 WEST 66TH STREET,            ,10023.0,0.0,1.0,1.0,47698.0,347053.0,1985.0,4.0,J6,931000000.0,2022-03-18,Unknown,2022_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,2682.587385788338,,,1,,
1.0,SOUTHBRIDGE,11 SPECIAL CONDO BILLING LOTS,2,100.0,1201.0, ,RR,8 SPRUCE STREET,RR/R,10038.0,1.0,0.0,1.0,0.0,773169.0,2007.0,2.0,RR,930000000.0,2022-06-15,Unknown,2022_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,1202.8418107813427,,,1,,
1.0,CHELSEA                  ,23  LOFT BUILDINGS                          ,4,672.0,1.0, ,O9,601 WEST 26TH   STREET                   ,            ,10001.0,0.0,208.0,208.0,124100.0,1835150.0,1931.0,4.0,L9,920000000.0,2011-07-29,Unknown,2011_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,501.3214178677492,,,1,,
1.0,MIDTOWN CBD,21 OFFICE BUILDINGS,1,1291.0,1.0, ,D4,711 5TH AVENUE,            ,10022.0,0.0,15.0,15.0,18062.0,310000.0,1927.0,4.0,O6,909267500.0,2019-08-22,Unknown,2019_manhattan.xlsx,1,D4,4,O6,1.0,72000,88000,6.8,2.0,7.25,,2933.120967741936,,,1,,
1.0,MIDTOWN CBD,21 OFFICE BUILDINGS,4,1277.0,14.0, ,O4,330 MADISON AVENUE,            ,10017.0,0.0,70.0,70.0,33137.0,733001.0,1965.0,4.0,O4,900000000.0,2020-02-28,Unknown,2020_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,1227.8291571225686,,,1,,
1.0,CHELSEA,21 OFFICE BUILDINGS,1,673.0,1.0, ,D4,261 11TH AVENUE,            ,10001.0,0.0,42.0,42.0,136000.0,1129200.0,1912.0,4.0,O3,880000000.0,2018-10-23,Unknown,2018_manhattan.xlsx,1,D4,4,O3,1.0,72000,88000,6.8,2.0,10.0,,779.3127878143819,,,1,,
1.0,CHELSEA                  ,29  COMMERCIAL GARAGES                      ,4,689.0,17.0, ,G6,501 WEST 17TH   STREET                   ,            ,10011.0,0.0,0.0,0.0,76425.0,0.0,0.0,4.0,G6,870000000.0,2015-05-07,Unknown,2015_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.0,,,2015-07-05,7.0,1,2015.0,200.0
3.0,SPRING CREEK,08 RENTALS - ELEVATOR APARTMENTS,1,4435.0,1.0, ,D4,1155 PENNSYLVANIA AVENUE,780,11239.0,1092.0,0.0,1092.0,358496.0,997720.0,1971.0,2.0,D3,869612895.0,2018-05-04,Unknown,2018_brooklyn.xlsx,1,D4,2,D3,3.0,72000,88000,6.8,2.0,10.0,,871.6001433267851,2018-04-05,4.0,3,2018.0,47.0
1.0,FASHION,22 STORE BUILDINGS,1,840.0,42.0, ,D4,424 5 AVENUE,            ,10018.0,0.0,4.0,4.0,51271.0,697029.0,1920.0,4.0,K3,850000000.0,2019-02-08,Unknown,2019_manhattan.xlsx,1,D4,4,K3,1.0,72000,88000,6.8,2.0,5.6,,1219.461457127322,2019-08-02,8.0,1,2019.0,99.0
1.0,KIPS BAY,08 RENTALS - ELEVATOR APARTMENTS,2,967.0,1.0, ,D8,616-626 FIRST AVENUE,            ,10016.0,761.0,3.0,764.0,45190.0,922828.0,2014.0,2.0,D8,837000000.0,2022-03-01,Unknown,2022_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,906.994586206747,2022-01-03,1.0,1,2022.0,8.0
1.0,MIDTOWN WEST             ,25  LUXURY HOTELS                           ,4,1005.0,1.0, ,H1,811 SEVENTH AVENUE                       ,            ,10019.0,0.0,13.0,13.0,60775.0,1172021.0,1960.0,4.0,H1,834518000.0,2006-02-28,Unknown,sales_manhattan_06.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,6.95,,712.0333168091698,,,1,,
1.0,UPPER EAST SIDE (59-79),08 RENTALS - ELEVATOR APARTMENTS,2,1376.0,1.0, ,D8,800 5 AVENUE,            ,10065.0,208.0,26.0,234.0,28235.0,355978.0,1979.0,2.0,D8,810000000.0,2025-08-14,Unknown,2025_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,2275.421514812713,,,1,,
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1300.0,14.0, ,O3,460 LEXINGTON AVENUE                     ,            ,10017.0,0.0,23.0,23.0,55228.0,1116774.0,1915.0,4.0,O3,810000000.0,2013-10-25,Unknown,2013_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,8.45,,725.3034185967797,,,1,,
1.0,JAVITS CENTER,21 OFFICE BUILDINGS,4,731.0,1.0, ,O6,460 WEST 34TH STREET,            ,10001.0,0.0,50.0,50.0,33900.0,538520.0,1927.0,4.0,O6,809912583.0,2020-12-18,Unknown,2020_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,1503.9600813340269,,,1,,
1.0,FLATIRON                 ,28  COMMERCIAL CONDOS                       ,  ,853.0,1004.0, ,  ,1 MADISON AVENUE                         ,            ,10010.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,R5,801677769.0,2005-04-29,Unknown,sales_manhattan_05.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.0,,,,,1,,
1.0,CHELSEA                  ,21  OFFICE BUILDINGS                        ,4,713.0,1.0, ,O9,75 NINTH AVENUE                          ,            ,10011.0,0.0,62.0,62.0,165200.0,1100533.0,1934.0,4.0,O9,795000000.0,2011-08-01,Unknown,2011_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,722.3772481152314,2011-01-08,1.0,1,2011.0,77.0
